lon,lat,source,country,year,wealthpooled,wealthpooled5country,households,urban_rural
89.998706,25.000629,BDHR41DT.ZIP,Bangladesh,2000,0.5995200075773329,-0.5951654883095856,38,0
90.022486,23.055497,BDHR41DT.ZIP,Bangladesh,2000,0.8887690444361058,-0.7668342476317694,22,0
90.026241,24.627827,BDHR41DT.ZIP,Bangladesh,2000,0.24931087950369796,-0.027483505792964703,30,0
90.104343,24.942995,BDHR41DT.ZIP,Bangladesh,2000,0.6620387161967698,-0.6879831513353868,37,0
90.11395,23.04943,BDHR41DT.ZIP,Bangladesh,2000,0.9156058149948325,-0.7177679558973606,25,0
90.114191,23.871459,BDHR41DT.ZIP,Bangladesh,2000,0.4645256073859616,-0.3835057399819292,27,0
90.114655,24.422612,BDHR41DT.ZIP,Bangladesh,2000,0.6481491813318088,-0.654966955200164,27,0
90.14192,24.285851,BDHR41DT.ZIP,Bangladesh,2000,0.7096683817786208,-0.7340359723957545,30,0
90.163717,23.662222,BDHR41DT.ZIP,Bangladesh,2000,0.39914501481194126,-0.1927194649626192,28,0
90.209793,23.653812,BDHR41DT.ZIP,Bangladesh,2000,0.652848768137238,-0.5810821051122749,29,0
90.220396,24.634183,BDHR41DT.ZIP,Bangladesh,2000,0.7217849821035409,-0.7943882535091796,33,0
90.233288,23.524974,BDHR41DT.ZIP,Bangladesh,2000,0.4078556805265243,-0.23864690305693423,27,0
90.235988,23.353537,BDHR41DT.ZIP,Bangladesh,2000,0.6170224349141077,-0.5669218009845306,24,0
90.253782,24.739668,BDHR41DT.ZIP,Bangladesh,2000,1.0686646177672852,-0.9434081826229611,28,0
90.280806,24.199158,BDHR41DT.ZIP,Bangladesh,2000,0.7535938199325998,-0.8611053297160423,25,0
90.281754,25.175101,BDHR41DT.ZIP,Bangladesh,2000,0.809131903001251,-0.7747611233035819,33,0
90.305489,23.631617,BDHR41DT.ZIP,Bangladesh,2000,0.420047058557618,-0.20587463781792995,28,0
90.377105,23.821537,BDHR41DT.ZIP,Bangladesh,2000,-0.944471132669113,1.5033897501221625,23,1
90.385191,23.75864,BDHR41DT.ZIP,Bangladesh,2000,-0.9805684736894666,1.5866760568064868,26,1
90.387987,23.723204,BDHR41DT.ZIP,Bangladesh,2000,-0.5834382187588827,0.9529973248435879,27,1
90.388695,23.954153,BDHR41DT.ZIP,Bangladesh,2000,0.06410567647052468,0.26563366623803664,25,0
90.391615,23.697514,BDHR41DT.ZIP,Bangladesh,2000,-0.01239643361589927,0.388358726200709,54,1
90.392641,23.718611,BDHR41DT.ZIP,Bangladesh,2000,-0.7605937666002461,1.2860575418443143,28,1
90.399431,23.877736,BDHR41DT.ZIP,Bangladesh,2000,-0.19222876792850924,0.7101823357366734,21,1
90.40127,23.905513,BDHR41DT.ZIP,Bangladesh,2000,-0.4406148684193359,0.8825584774225479,23,1
90.408242,24.753734,BDHR41DT.ZIP,Bangladesh,2000,-0.24112921653107927,0.671860794470958,20,1
90.409012,24.758755,BDHR41DT.ZIP,Bangladesh,2000,-0.39138902574305123,0.8539998195049331,22,1
90.414617,23.730391,BDHR41DT.ZIP,Bangladesh,2000,-0.9414636968291994,1.518548739771831,27,1
90.416839,23.715188,BDHR41DT.ZIP,Bangladesh,2000,-0.8336962289100733,1.4269237712360379,36,1
90.417453,24.842343,BDHR41DT.ZIP,Bangladesh,2000,0.6585844517008428,-0.6765239342261482,30,0
90.41874,23.745875,BDHR41DT.ZIP,Bangladesh,2000,-0.7917330581005572,1.2621069365936421,33,1
90.433785,24.01363,BDHR41DT.ZIP,Bangladesh,2000,-0.13795088873455819,0.6221450058977929,27,1
90.436593,23.977286,BDHR41DT.ZIP,Bangladesh,2000,0.39677617407774485,-0.28781243210543,24,1
90.439748,23.686463,BDHR41DT.ZIP,Bangladesh,2000,-0.7896206116194951,1.2502069366122588,28,1
90.45387,23.103153,BDHR41DT.ZIP,Bangladesh,2000,0.6542768511494776,-0.5697391098849255,24,0
90.465037,23.507024,BDHR41DT.ZIP,Bangladesh,2000,0.53228661951927,-0.1703861045415318,28,0
90.493401,23.269836,BDHR41DT.ZIP,Bangladesh,2000,0.6392569233826648,-0.6215891631059873,17,0
90.502297,23.628629,BDHR41DT.ZIP,Bangladesh,2000,-0.7862571654881855,1.4332083823612578,24,1
90.504785,23.627534,BDHR41DT.ZIP,Bangladesh,2000,-0.8946001159769339,1.4054491929080284,27,1
90.519476,23.622335,BDHR41DT.ZIP,Bangladesh,2000,-0.056920818596689404,0.30361975767705573,21,1
90.531757,24.954166,BDHR41DT.ZIP,Bangladesh,2000,0.8009489277116673,-0.8202508092429189,36,0
90.549374,24.097405,BDHR41DT.ZIP,Bangladesh,2000,0.6692681010838609,-0.7121948511061782,29,0
90.55355,24.440806,BDHR41DT.ZIP,Bangladesh,2000,0.7254942802153745,-0.7095837612444613,33,0
90.568966,23.858572,BDHR41DT.ZIP,Bangladesh,2000,0.3779340647577606,-0.24943719140791443,26,0
90.638253,23.405757,BDHR41DT.ZIP,Bangladesh,2000,0.9998549629302791,-0.8143720578993696,31,0
90.659882,23.226094,BDHR41DT.ZIP,Bangladesh,2000,-0.8925361483398392,1.4124735528749819,26,1
90.685812,23.288716,BDHR41DT.ZIP,Bangladesh,2000,0.9064731333934939,-0.7115216053292815,28,0
